execution_number,model,question_number,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1
18,ind_gemma_v4,10,0.0125,0.07692307692307693,0.021505373939183992,0.0125,0.07692307692307693,0.021505373939183992
18,ind_gemma_v4,11,0.2966101694915254,0.24822695035460993,0.2702702653097003,0.288135593220339,0.24113475177304963,0.26254825758769257
18,ind_gemma_v4,12,0.17293233082706766,0.20175438596491227,0.18623481284335108,0.15037593984962405,0.17543859649122806,0.1619433148676426
18,ind_gemma_v4,14,0.25806451612903225,0.2564102564102564,0.25723472168815464,0.25161290322580643,0.25,0.2508038535209521
18,ind_llama_v2,1,0.030303030303030304,0.0967741935483871,0.04615384252189378,0.020202020202020204,0.06451612903225806,0.030769227137278535
18,ind_llama_v2,2,0.2916666666666667,0.4772727272727273,0.36206896080856127,0.2916666666666667,0.4772727272727273,0.36206896080856127
18,ind_llama_v2,3,0.2764227642276423,0.5666666666666667,0.3715846950461346,0.2764227642276423,0.5666666666666667,0.3715846950461346
18,ind_llama_v2,5,0.3674698795180723,0.4959349593495935,0.4221453238304139,0.3493975903614458,0.4715447154471545,0.4013840781556735
18,ind_llama_v2,8,0.05405405405405406,0.27586206896551724,0.0903954774860354,0.0472972972972973,0.2413793103448276,0.07909604245778681
18,ind_llama_v2,9,0.33163265306122447,0.4513888888888889,0.3823529362934256,0.3163265306122449,0.4305555555555556,0.36470587746989624
18,ind_llama_v2,10,0.011494252873563218,0.07692307692307693,0.019999997738000257,0.011494252873563218,0.07692307692307693,0.019999997738000257
18,ind_llama_v2,11,0.1781609195402299,0.2198581560283688,0.19682539188027223,0.1724137931034483,0.2127659574468085,0.1904761855310659
18,ind_llama_v2,12,0.16923076923076924,0.19298245614035087,0.18032786387395874,0.14615384615384616,0.16666666666666666,0.15573769993953254
18,ind_llama_v2,14,0.1610738255033557,0.15384615384615385,0.15737704418296172,0.1610738255033557,0.15384615384615385,0.15737704418296172
18,ind_llama_v4,1,0.021897810218978103,0.0967741935483871,0.035714282704790504,0.021897810218978103,0.0967741935483871,0.035714282704790504
18,ind_llama_v4,2,0.2463768115942029,0.38636363636363635,0.3008849509969458,0.2463768115942029,0.38636363636363635,0.3008849509969458
18,ind_llama_v4,3,0.3645833333333333,0.5833333333333334,0.4487179439842209,0.34375,0.55,0.42307691834319533
18,ind_llama_v4,5,0.4166666666666667,0.6910569105691057,0.5198776711477711,0.4068627450980392,0.6747967479674797,0.5076452552456304
18,ind_llama_v4,8,0.044642857142857144,0.3448275862068966,0.07905138136949497,0.03571428571428571,0.27586206896551724,0.06324110468965309
18,ind_llama_v4,9,0.45121951219512196,0.5138888888888888,0.48051947554056335,0.4451219512195122,0.5069444444444444,0.4740259690470569
18,ind_llama_v4,10,0.006711409395973154,0.07692307692307693,0.012345677536198927,0.006711409395973154,0.07692307692307693,0.012345677536198927
18,ind_llama_v4,11,0.2064516129032258,0.22695035460992907,0.21621621122740153,0.2,0.2198581560283688,0.20945945447064476
18,ind_llama_v4,12,0.14563106796116504,0.13157894736842105,0.13824884293911543,0.10679611650485436,0.09649122807017543,0.10138248349211094
18,ind_llama_v4,14,0.5140845070422535,0.46794871794871795,0.4899328809170758,0.5140845070422535,0.46794871794871795,0.4899328809170758
18,seq_gemma_v2,1,0.024793388429752067,0.0967741935483871,0.039473680963469794,0.024793388429752067,0.0967741935483871,0.039473680963469794
18,seq_gemma_v2,2,0.07352941176470588,0.11363636363636363,0.08928570951530639,0.07352941176470588,0.11363636363636363,0.08928570951530639
18,seq_gemma_v2,3,0.2876712328767123,0.35,0.3157894687319804,0.2876712328767123,0.35,0.3157894687319804
18,seq_gemma_v2,5,0.15079365079365079,0.15447154471544716,0.15261043676779426,0.12698412698412698,0.13008130081300814,0.1285140512256256
18,seq_gemma_v2,8,0.045714285714285714,0.27586206896551724,0.0784313701100539,0.045714285714285714,0.27586206896551724,0.0784313701100539
18,seq_gemma_v2,9,0.22900763358778625,0.20833333333333334,0.21818181319299187,0.183206106870229,0.16666666666666666,0.17454544955662823
18,seq_gemma_v2,10,0.02631578947368421,0.07692307692307693,0.03921568247597115,0.02631578947368421,0.07692307692307693,0.03921568247597115
18,seq_gemma_v2,11,0.2184873949579832,0.18439716312056736,0.19999999503579893,0.20168067226890757,0.1702127659574468,0.1846153796511836
18,seq_gemma_v2,12,0.18518518518518517,0.08771929824561403,0.11904761468537431,0.16666666666666666,0.07894736842105263,0.10714285278061242
18,seq_gemma_v2,14,0.19047619047619047,0.1794871794871795,0.18481847685259625,0.17687074829931973,0.16666666666666666,0.17161715672058311
18,seq_gemma_v4,1,0.020202020202020204,0.06451612903225806,0.030769227137278535,0.020202020202020204,0.06451612903225806,0.030769227137278535
18,seq_gemma_v4,2,0.34523809523809523,0.6590909090909091,0.4531249954882813,0.34523809523809523,0.6590909090909091,0.4531249954882813
18,seq_gemma_v4,3,0.25773195876288657,0.4166666666666667,0.3184713328573167,0.24742268041237114,0.4,0.30573247935413206
18,seq_gemma_v4,5,0.21739130434782608,0.12195121951219512,0.15624999539550796,0.2028985507246377,0.11382113821138211,0.14583332872884128
18,seq_gemma_v4,8,0.02926829268292683,0.20689655172413793,0.05128204911059985,0.02926829268292683,0.20689655172413793,0.05128204911059985
18,seq_gemma_v4,9,0.15966386554621848,0.13194444444444445,0.1444866870603885,0.14285714285714285,0.11805555555555555,0.12927756158510337
18,seq_gemma_v4,10,0.0196078431372549,0.07692307692307693,0.03124999676269565,0.0196078431372549,0.07692307692307693,0.03124999676269565
18,seq_gemma_v4,11,0.26126126126126126,0.20567375886524822,0.23015872522959197,0.23423423423423423,0.18439716312056736,0.20634920142006813
18,seq_gemma_v4,12,0.14130434782608695,0.11403508771929824,0.12621358729003693,0.11956521739130435,0.09649122807017543,0.10679611156188165
18,seq_gemma_v4,14,0.14414414414414414,0.10256410256410256,0.11985018240794532,0.13513513513513514,0.09615384615384616,0.11235954570382549
18,seq_llama_v2,1,0.031578947368421054,0.0967741935483871,0.04761904390904539,0.031578947368421054,0.0967741935483871,0.04761904390904539
18,seq_llama_v2,2,0.0,0.0,0.0,0.0,0.0,0.0
18,seq_llama_v2,3,0.2647058823529412,0.6,0.3673469345272803,0.25735294117647056,0.5833333333333334,0.35714285289462727
18,seq_llama_v2,5,0.1095890410958904,0.2601626016260163,0.1542168632990566,0.0958904109589041,0.22764227642276422,0.13493975486532167
18,seq_llama_v2,8,0.046511627906976744,0.3448275862068966,0.08196721102022311,0.037209302325581395,0.27586206896551724,0.0655737683972723
18,seq_llama_v2,9,0.24305555555555555,0.24305555555555555,0.24305555055555564,0.1875,0.1875,0.18749999500000014
18,seq_llama_v2,10,0.008064516129032258,0.07692307692307693,0.014598538428259568,0.008064516129032258,0.07692307692307693,0.014598538428259568
18,seq_llama_v2,11,0.17582417582417584,0.22695035460992907,0.19814240994124369,0.17032967032967034,0.2198581560283688,0.1919504594768474
18,seq_llama_v2,12,0.15,0.07894736842105263,0.10344827134363872,0.15,0.07894736842105263,0.10344827134363872
18,seq_llama_v2,14,0.17142857142857143,0.19230769230769232,0.18126887719170154,0.16,0.1794871794871795,0.16918428504668648
18,seq_llama_v4,1,0.024,0.0967741935483871,0.03846153527695621,0.024,0.0967741935483871,0.03846153527695621
18,seq_llama_v4,2,0.3118279569892473,0.6590909090909091,0.4233576598731951,0.3118279569892473,0.6590909090909091,0.4233576598731951
18,seq_llama_v4,3,0.16153846153846155,0.35,0.22105262725761782,0.16153846153846155,0.35,0.22105262725761782
